text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@SuperFiammetta @AlfioKrancic Ma ti pare che nelle zone fredde del pianeta mangino Arance e derivati per scongiurar… https://t.co/PrFZaIGwBb,FALSE,0,SuperFiammetta,2019-03-08T21:41:27Z,TRUE,1103908996891607041,1104135061274877952,779746021127622658,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",debufred,0,FALSE,FALSE,NA,NA
"Listen! Influenza &amp; Pneumonia are NO JOKE! Get your annual Flu shot &amp; if ur over 65, get ur Pneumonia vaccine. If u… https://t.co/6ZRxcvDqNh",FALSE,0,NA,2019-03-08T21:38:53Z,TRUE,NA,1104134416987770881,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Cyn190,0,FALSE,FALSE,NA,NA
"@KcHolz I had (type - A influenza) three weeks ago. The struggle is real. If it’s not too late , get Tamma Flu it saved me.",FALSE,0,KcHolz,2019-03-08T21:37:10Z,FALSE,1104089347463233543,1104133984613736449,936789648067657728,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FamMSMD,0,FALSE,FALSE,NA,NA
"@melifix @PolitiBunny @El_Influenza @Johnny_Joey @Patriot_Musket Thanks a million, Mel.",FALSE,1,melifix,2019-03-08T21:35:51Z,FALSE,1104133349772189696,1104133651879596032,790467060,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WayneMcCabe1,0,FALSE,FALSE,NA,NA
"Il Genoa sabato (ore 18.00) di scena a Parma; novità tra i pali, gioca Jandrei. Il numero uno brasiliano debutta in… https://t.co/96wYf8xr1Z",FALSE,0,NA,2019-03-08T21:34:58Z,TRUE,NA,1104133432362307584,NA,"<a href=""http://www.farodiroma.it"" rel=""nofollow"">FdRtwitter</a>",FarodiRoma,0,FALSE,FALSE,NA,NA
@WayneMcCabe1 @PolitiBunny @El_Influenza @Johnny_Joey @Patriot_Musket Sending lots of love! Heal quickly!,FALSE,1,WayneMcCabe1,2019-03-08T21:34:39Z,FALSE,1104133061564862464,1104133349772189696,901835340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",melifix,0,FALSE,FALSE,NA,NA
"POLIeTICA
Il 60% del Pd in Parlamento è renziano
I libri di Renzi salgono le vette delle vendite e pienoni nelle pr… https://t.co/vNGS5EHKaS",FALSE,1,NA,2019-03-08T21:33:42Z,TRUE,NA,1104133114677415937,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DemoSinergia,0,FALSE,FALSE,NA,NA
#5 is out and #6 is in.    #knee. #kneepain   #knee-replacement. @PolitiBunny @melifix  @El_Influenza  @Johnny_Joey… https://t.co/4WZ8jpCgaW,FALSE,1,NA,2019-03-08T21:33:30Z,TRUE,NA,1104133061564862464,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WayneMcCabe1,0,FALSE,FALSE,NA,NA
"Sr @pepesegarra por favor un combo madres para mi hermano @fer_Sanchez_R que está enfermo de influenza, de esa que… https://t.co/MdByS6Lu9b",FALSE,0,NA,2019-03-08T21:28:05Z,TRUE,NA,1104131699091390465,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ssr112,0,FALSE,FALSE,NA,NA
"Gente que salió o se quedó, pero celebró el carnaval... ¿de que se tienen que recuperar? ¿Les dio influenza, gastro… https://t.co/GwlzFw8wMa",FALSE,0,NA,2019-03-08T21:25:27Z,TRUE,NA,1104131037209206790,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rvazquezg98,0,FALSE,FALSE,NA,NA
